"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @dlm62088: @RodneyDavis Any comments on  Mueller report, potsy?",FALSE,0,NA,2019-04-23 14:35:21,FALSE,NA,"1120697673701576704",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JeanMil45726010",1,TRUE,FALSE,NA,NA
"@RodneyDavis So you do have time for a town hall, or to meet with voters",FALSE,1,"RodneyDavis",2019-04-23 14:35:17,FALSE,"1120356505994375168","1120697657335402497","993153006","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","dianadudzie",0,FALSE,FALSE,NA,NA
"@_GreatBike_ @RodneyDavis I've seen Rodney 1 time and he was running away from a constiuent",FALSE,2,"_GreatBike_",2019-04-23 14:33:04,FALSE,"1120518038309212162","1120697098943569920","93801030","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dlm62088",1,FALSE,FALSE,NA,NA
"@RodneyDavis You can not hide from your vote to take away millions of human beings healthcare.

It will never be fo… https://t.co/z1XcvXB7BZ",FALSE,2,"RodneyDavis",2019-04-23 14:32:35,TRUE,"1120696141065150464","1120696976922877952","993153006","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","osborncorrie",0,FALSE,FALSE,NA,NA
"RT @CU_Indivisible: .@RodneyDavis is going to try and hang impeachment around @BetsyforIL's neck because it's easier than explaining why he…",FALSE,0,NA,2019-04-23 14:32:14,FALSE,NA,"1120696886908858369",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","dianadudzie",15,TRUE,FALSE,NA,NA
"@RodneyDavis Any comments on  Mueller report, potsy?",FALSE,3,"RodneyDavis",2019-04-23 14:30:58,FALSE,"1120696141065150464","1120696570977165312","993153006","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dlm62088",1,FALSE,FALSE,NA,NA
"@_GreatBike_ @RodneyDavis He seems like the kind of person that would smile to your face, then turn around and talk… https://t.co/b7ESDXfao9",FALSE,4,"_GreatBike_",2019-04-23 14:30:55,TRUE,"1120518038309212162","1120696557844750337","93801030","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","dianadudzie",1,FALSE,FALSE,NA,NA
"@RodneyDavis You are a pothole",FALSE,1,"RodneyDavis",2019-04-23 14:29:45,FALSE,"1120696141065150464","1120696263907991556","993153006","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mesosuchus",0,FALSE,FALSE,NA,NA
"@_GreatBike_ @RodneyDavis Here they all are cheering their vote to repeal Americans healthcare that would lead to m… https://t.co/sXhhBLFT9V",FALSE,1,"osborncorrie",2019-04-23 14:27:49,TRUE,"1120694644646514689","1120695778744373253","2911161098","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","osborncorrie",1,FALSE,FALSE,NA,NA
"@_GreatBike_ @RodneyDavis So, people with money get to choose which people live? Death Panels!",FALSE,2,"_GreatBike_",2019-04-23 14:27:16,FALSE,"1120689937534390275","1120695637648056320","93801030","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DonGerard",0,FALSE,FALSE,NA,NA
"RT @_GreatBike_: @RodneyDavis is such a divisive &amp; partisan extremist that he weaponizes cancer to attack campaign finance reform, which is…",FALSE,0,NA,2019-04-23 14:26:12,FALSE,NA,"1120695371641053184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EmilySuess",4,TRUE,FALSE,NA,NA
"RT @_GreatBike_: @RodneyDavis is such a divisive &amp; partisan extremist that he weaponizes cancer to attack campaign finance reform, which is…",FALSE,0,NA,2019-04-23 14:26:08,FALSE,NA,"1120695354327015426",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DonGerard",4,TRUE,FALSE,NA,NA
"@realDonaldTrump @RodneyDavis We love you Mr. President.  I have read all your Tweets this morning.  So much fake n… https://t.co/EaMU54mp9v",FALSE,0,"realDonaldTrump",2019-04-23 14:24:14,TRUE,NA,"1120694876419575810","25073877","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","geezermann",0,FALSE,FALSE,NA,NA
"@_GreatBike_ @RodneyDavis Didn't Rodney vote to take away American's healthcare?
Here is the list
https://t.co/T8cCTyGiXP",FALSE,2,"_GreatBike_",2019-04-23 14:23:19,FALSE,"1120689937534390275","1120694644646514689","93801030","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","osborncorrie",0,FALSE,FALSE,NA,NA
"@MichaelLillich @_GreatBike_ @RodneyDavis You tweet about Betsy an awful lot.  Try messaging her directly, she does… https://t.co/R5Vqv68rIR",FALSE,1,"MichaelLillich",2019-04-23 14:22:56,TRUE,"1120691989480189954","1120694546969575424","865710272174055426","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","funnygirlescope",0,FALSE,FALSE,NA,NA
"RT @_GreatBike_: @RodneyDavis is such a divisive &amp; partisan extremist that he weaponizes cancer to attack campaign finance reform, which is…",FALSE,0,NA,2019-04-23 14:21:04,FALSE,NA,"1120694077937389568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","funnygirlescope",4,TRUE,FALSE,NA,NA
"@_GreatBike_ @RodneyDavis Campaign finance reform-cancer research = prototypical example of false equivalency.

Betsy, your thoughts?",FALSE,0,"_GreatBike_",2019-04-23 14:12:46,FALSE,"1120691119275298816","1120691989480189954","93801030","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MichaelLillich",0,FALSE,FALSE,NA,NA
"@RodneyDavis, I always check the tax form box to earmark $3 of my tax dollars for campaign finance reform, because… https://t.co/8hixykqBpN",FALSE,6,"_GreatBike_",2019-04-23 14:09:18,TRUE,"1120689937534390275","1120691119275298816","93801030","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_GreatBike_",0,FALSE,FALSE,NA,NA
"@RodneyDavis is such a divisive &amp; partisan extremist that he weaponizes cancer to attack campaign finance reform, w… https://t.co/TvT2i5oL4O",FALSE,6,"RodneyDavis",2019-04-23 14:04:37,TRUE,NA,"1120689937534390275","993153006","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_GreatBike_",4,FALSE,FALSE,NA,NA
"RT @CalhounGirl61: @RodneyDavis @RepShimkus https://t.co/xYu24IaC24",FALSE,0,NA,2019-04-23 14:02:14,FALSE,NA,"1120689340408115201",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","funnygirlescope",1,TRUE,FALSE,NA,NA
"@RepKinzinger @RodneyDavis Have you read your boy’s greeting to the nation this morning. If your children were twee… https://t.co/2mgwW3Qb9I",FALSE,0,"RepKinzinger",2019-04-23 13:33:24,TRUE,NA,"1120682082882260993","219429281","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rjlaya",0,FALSE,FALSE,NA,NA
"RT @MichaelLillich: @Hineni_CU @_GreatBike_ @RodneyDavis Puzzle me this fellow constituents: How can Rodney Davis preach ""bipartisanship"" a…",FALSE,0,NA,2019-04-23 13:08:55,FALSE,NA,"1120675921156087808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","k8winkler",1,TRUE,FALSE,NA,NA
"RT @funnygirlescope: @Hineni_CU @RodneyDavis RD, if it is the law &amp; Donnie refuses to release his taxes then HE is keeping himself off of t…",FALSE,0,NA,2019-04-23 13:08:35,FALSE,NA,"1120675835608956928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","k8winkler",2,TRUE,FALSE,NA,NA
"RT @Hineni_CU: .@RodneyDavis's latest pitch claims ""IL Dems just passed a bill that would effectively disallow Pres. Trump from appearing o…",FALSE,0,NA,2019-04-23 13:08:22,FALSE,NA,"1120675782345539584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","k8winkler",10,TRUE,FALSE,NA,NA
